"3,4,+","+,3,4","(,3,+,4,)","3,4,+"
"3,4,+,2,*","*,+,3,4,2","(,(,3,+,4,),*,2,)","3,4,+,2,*"
"5,6,7,*,+","+,5,*,6,7","(,5,+,(,6,*,7,),)","5,6,7,*,+"
"8,3,2,+,*","*,8,+,3,2","(,8,*,(,3,+,2,),)","8,3,2,+,*"
"9,5,1,-,*","*,9,-,5,1","(,9,*,(,5,-,1,),)","9,5,1,-,*"
"7,2,3,*,+","+,7,*,2,3","(,7,+,(,2,*,3,),)","7,2,3,*,+"
"10,4,2,*,+","+,10,*,4,2","(,10,+,(,4,*,2,),)","10,4,2,*,+"
"6,3,/,2,+","+,/,6,3,2","(,(,6,/,3,),+,2,)","6,3,/,2,+"
"12,3,4,+,*","*,12,+,3,4","(,12,*,(,3,+,4,),)","12,3,4,+,*"
"15,5,/,2,*","*,/,15,5,2","(,(,15,/,5,),*,2,)","15,5,/,2,*"
"20,4,/,3,+","+,/,20,4,3","(,(,20,/,4,),+,3,)","20,4,/,3,+"
"9,3,/,2,*","*,/,9,3,2","(,(,9,/,3,),*,2,)","9,3,/,2,*"
"14,7,/,5,+","+,/,14,7,5","(,(,14,/,7,),+,5,)","14,7,/,5,+"
"11,2,3,*,-","-,11,*,2,3","(,11,-,(,2,*,3,),)","11,2,3,*,-"
"18,3,/,6,+","+,/,18,3,6","(,(,18,/,3,),+,6,)","18,3,/,6,+"
"7,4,2,*,+","+,7,*,4,2","(,7,+,(,4,*,2,),)","7,4,2,*,+"
"13,5,2,*,+","+,13,*,5,2","(,13,+,(,5,*,2,),)","13,5,2,*,+"
"16,4,/,2,*","*,/,16,4,2","(,(,16,/,4,),*,2,)","16,4,/,2,*"
"21,7,/,3,+","+,/,21,7,3","(,(,21,/,7,),+,3,)","21,7,/,3,+"
"25,5,/,4,*","*,/,25,5,4","(,(,25,/,5,),*,4,)","25,5,/,4,*"
"30,6,/,2,*","*,/,30,6,2","(,(,30,/,6,),*,2,)","30,6,/,2,*"
"1,2,+,3,*","*,+,1,2,3","(,(,1,+,2,),*,3,)","1,2,+,3,*"
